No	Time	DC/AC	Value	Unit	AUTO
1	21:59:05		0027.4	#	
2	21:59:06		0027.4	#	
3	21:59:08		0027.2	#	
4	21:59:10		0027.2	#	
5	21:59:12		0026.9	#	
6	21:59:14		0026.9	#	
7	21:59:16		0026.9	#	
8	21:59:18		0026.9	#	
9	21:59:20		0026.9	#	
10	21:59:22		0027.2	#	
11	21:59:24		0027.2	#	
12	21:59:26		0027.4	#	
13	21:59:28		0027.4	#	
14	21:59:30		0027.7	#	
15	21:59:32		0027.9	#	
16	21:59:34		0028.1	#	
17	21:59:36		0028.4	#	
18	21:59:39		0028.9	#	
19	21:59:41		0029.1	#	
20	21:59:43		0029.4	#	
21	21:59:45		0029.4	#	
22	21:59:47		0029.6	#	
23	21:59:49		0030.1	#	
24	21:59:51		0030.4	#	
25	21:59:53		0030.6	#	
26	21:59:55		0030.9	#	
27	21:59:56		0031.3	#	
28	21:59:58		0031.6	#	
29	22:00:00		0031.8	#	
30	22:00:02		0032.3	#	
31	22:00:04		0032.6	#	
32	22:00:06		0032.8	#	
33	22:00:08		0033.1	#	
34	22:00:10		0033.5	#	
35	22:00:12		0033.8	#	
36	22:00:14		0034.0	#	
37	22:00:16		0034.5	#	
38	22:00:18		0034.8	#	
39	22:00:20		0035.0	#	
40	22:00:22		0035.5	#	
41	22:00:24		0035.3	#	
42	22:00:26		0035.7	#	
43	22:00:28		0036.0	#	
44	22:00:30		0036.2	#	
45	22:00:32		0036.5	#	
46	22:00:34		0036.7	#	
47	22:00:36		0037.0	#	
48	22:00:38		0037.5	#	
49	22:00:40		0037.7	#	
50	22:00:43		0038.2	#	
51	22:00:45		0038.4	#	
52	22:00:47		0038.7	#	
53	22:00:49		0038.9	#	
54	22:00:51		0039.2	#	
55	22:00:53		0039.4	#	
56	22:00:55		0039.7	#	
57	22:00:57		0039.9	#	
58	22:00:58		0040.1	#	
59	22:01:00		0040.4	#	
60	22:01:02		0040.6	#	
61	22:01:04		0040.6	#	
62	22:01:06		0040.9	#	
63	22:01:08		0041.1	#	
64	22:01:10		0041.4	#	
65	22:01:12		0041.6	#	
66	22:01:14		0041.8	#	
67	22:01:16		0042.1	#	
68	22:01:18		0042.3	#	
69	22:01:20		0042.6	#	
70	22:01:22		0042.8	#	
71	22:01:24		0042.8	#	
72	22:01:26		0043.1	#	
73	22:01:28		0043.3	#	
74	22:01:30		0043.6	#	
75	22:01:32		0043.8	#	
76	22:01:34		0044.0	#	
77	22:01:36		0044.3	#	
78	22:01:38		0044.5	#	
79	22:01:40		0044.5	#	
80	22:01:42		0044.8	#	
81	22:01:44		0045.0	#	
82	22:01:47		0045.0	#	
83	22:01:49		0045.3	#	
84	22:01:51		0045.5	#	
85	22:01:53		0045.5	#	
86	22:01:55		0045.7	#	
87	22:01:57		0046.0	#	
88	22:01:59		0046.2	#	
89	22:02:01		0046.5	#	
90	22:02:03		0046.5	#	
91	22:02:04		0046.7	#	
92	22:02:06		0047.0	#	
93	22:02:08		0047.0	#	
94	22:02:10		0047.2	#	
95	22:02:12		0047.4	#	
96	22:02:14		0047.7	#	
