AMP,RMS,ZCR,FREQ. RANGE,TIME DECAY,SOURCE,CLASS
0.5045454,0.36726484,154,Low,Slow,Synthesized,KICK
0.2778165,0.20587227,1783,Low,Slow,Synthesized,KICK
0.372127,0.2720401,35,Low,Slow,Synthesized,KICK
0.41519433,0.32503214,436,Low,Slow,Synthesized,KICK
0.24149981,0.18238968,66,Low,Slow,Synthesized,KICK
0.38758922,0.24282892,58,Low,Slow,Synthesized,KICK
0.28693736,0.20719776,47,Low,Slow,Synthesized,KICK
0.6197219,0.4619862,135,Low,Slow,Synthesized,KICK
0.5840009,0.41662398,57,Low,Slow,Synthesized,KICK
0.64396787,0.49080443,107,Low,Slow,Synthesized,KICK
0.4761526,0.35396358,151,Low,Slow,Synthesized,KICK
0.6053938,0.44631526,47,Low,Slow,Synthesized,KICK
0.44360423,0.33100307,43,Low,Slow,Synthesized,KICK
0.6019587,0.4647325,62,Low,Slow,Synthesized,KICK
0.49856758,0.4008497,199,Low,Slow,Synthesized,KICK
0.33135536,0.22936696,125,Low,Slow,Synthesized,KICK
0.36049134,0.24441826,76,Low,Slow,Synthesized,KICK
0.5927512,0.4593949,65,Low,Slow,Synthesized,KICK
0.60248786,0.47405192,60,Low,Slow,Synthesized,KICK
0.4980115,0.37594986,50,Low,Slow,Synthesized,KICK
0.57513565,0.4036211,53,Low,Slow,Synthesized,KICK
0.2609187,0.1762199,125,Low,Slow,Synthesized,KICK
0.5368241,0.4039087,43,Low,Slow,Synthesized,KICK
0.46762028,0.3095396,92,Low,Slow,Synthesized,KICK
0.38289785,0.25794545,130,Low,Slow,Synthesized,KICK
0.32111713,0.23722391,47,Low,Slow,Synthesized,KICK
0.4357338,0.3141463,66,Low,Slow,Synthesized,KICK
0.5015315,0.38145667,56,Low,Slow,Synthesized,KICK
0.5289561,0.4099196,39,Low,Slow,Synthesized,KICK
0.5135709,0.39269137,59,Low,Slow,Synthesized,KICK
0.49369767,0.39239866,102,Low,Slow,Synthesized,KICK
0.65262395,0.5056443,40,Low,Slow,Synthesized,KICK
0.60722506,0.42441022,68,Low,Slow,Synthesized,KICK
0.46602714,0.32081878,103,Low,Slow,Synthesized,KICK
0.56868094,0.38381714,99,Low,Slow,Synthesized,KICK
0.632018,0.4661715,42,Low,Slow,Synthesized,KICK
0.40255308,0.25889203,140,Low,Slow,Synthesized,KICK
0.6651288,0.44452992,76,Low,Slow,Synthesized,KICK
0.39057118,0.24905917,401,Low,Slow,Synthesized,KICK
0.258126,0.17762278,114,Low,Slow,Synthesized,KICK
0.41441968,0.2807236,69,Low,Slow,Synthesized,KICK
0.67820346,0.56369776,24,Low,Slow,Synthesized,KICK
0.6618434,0.46327215,58,Low,Slow,Synthesized,KICK
0.46870297,0.3421819,82,Low,Slow,Synthesized,KICK
0.3992466,0.28427315,250,Low,Slow,Synthesized,KICK
0.5511794,0.40998846,45,Low,Slow,Synthesized,KICK
0.42876366,0.31466708,46,Low,Slow,Synthesized,KICK
0.46885264,0.33394074,83,Low,Slow,Synthesized,KICK
0.6368614,0.4660218,81,Low,Slow,Synthesized,KICK
0.56645143,0.4247262,323,Low,Slow,Synthesized,KICK
0.5214941,0.398389,193,Low,Slow,Synthesized,KICK
0.5774851,0.44841346,96,Low,Slow,Synthesized,KICK
0.44364133,0.3367996,37,Low,Slow,Synthesized,KICK
0.5042106,0.33564994,68,Low,Slow,Synthesized,KICK
0.51123947,0.39583227,81,Low,Slow,Synthesized,KICK
0.59923595,0.4544855,55,Low,Slow,Synthesized,KICK
0.31217298,0.21256438,148,Low,Slow,Synthesized,KICK
0.3133114,0.21382554,52,Low,Slow,Synthesized,KICK
0.69483596,0.47630438,80,Low,Slow,Synthesized,KICK
0.39444256,0.24473682,93,Low,Slow,Synthesized,KICK
0.4920896,0.33604813,43,Low,Slow,Synthesized,KICK
0.45603597,0.35224834,63,Low,Slow,Synthesized,KICK
0.28183043,0.18577093,66,Low,Slow,Synthesized,KICK
0.51545495,0.35157892,47,Low,Slow,Synthesized,KICK
0.24131359,0.19353004,792,Low,Slow,Synthesized,KICK
0.23722206,0.16741061,46,Low,Slow,Synthesized,KICK
0.2572684,0.17671078,3874,Low,Slow,Synthesized,KICK
0.18906671,0.15363555,78,Low,Slow,Synthesized,KICK
0.2920504,0.25425383,48,Low,Slow,Synthesized,KICK
0.28558174,0.22764367,45,Low,Slow,Synthesized,KICK
0.15287194,0.12575561,117,Low,Slow,Synthesized,KICK
0.11989194,0.08293004,35,Low,Slow,Synthesized,KICK
0.124011815,0.07933889,25,Low,Slow,Synthesized,KICK
0.16529083,0.12429978,68,Low,Slow,Synthesized,KICK
0.14566803,0.099412985,62,Low,Slow,Synthesized,KICK
0.15861948,0.115319274,68,Low,Slow,Synthesized,KICK
0.21299016,0.14932089,79,Low,Slow,Synthesized,KICK
0.22564152,0.15170634,129,Low,Slow,Synthesized,KICK
0.32802874,0.23016843,58,Low,Slow,Synthesized,KICK
0.34491584,0.2462742,61,Low,Slow,Synthesized,KICK
0.26330748,0.16828276,272,Low,Slow,Synthesized,KICK
0.31209928,0.22746572,56,Low,Slow,Synthesized,KICK
0.19985889,0.14078262,76,Low,Slow,Synthesized,KICK
0.1981717,0.14479046,51,Low,Slow,Synthesized,KICK
0.1984093,0.14329273,50,Low,Slow,Synthesized,KICK
0.15926687,0.11580354,69,Low,Slow,Synthesized,KICK
0.16295806,0.1164349,81,Low,Slow,Synthesized,KICK
0.24724288,0.17117041,141,Low,Slow,Synthesized,KICK
0.27994356,0.18990393,157,Low,Slow,Synthesized,KICK
0.26945424,0.18882741,83,Low,Slow,Synthesized,KICK
0.21008337,0.15476602,51,Low,Slow,Synthesized,KICK
0.26438653,0.1889045,138,Low,Slow,Synthesized,KICK
0.49949035,0.32407615,52,Low,Slow,Synthesized,KICK
0.5350958,0.40820682,49,Low,Slow,Synthesized,KICK
0.6472153,0.45748007,68,Low,Slow,Synthesized,KICK
0.3768504,0.27420068,70,Low,Slow,Synthesized,KICK
0.38682455,0.2670102,62,Low,Slow,Synthesized,KICK
0.37222463,0.2660647,60,Low,Slow,Synthesized,KICK
0.30120012,0.22062525,242,Low,Slow,Synthesized,KICK
0.5496548,0.40249112,41,Low,Slow,Synthesized,KICK
0.39551505,0.17965694,1412,Mid,Fast,Acoustic,SNARE
0.1138568,0.07373729,2447,Mid,Fast,Acoustic,SNARE
0.25130734,0.14334695,2184,Mid,Fast,Acoustic,SNARE
0.21881908,0.14627996,2334,Mid,Fast,Acoustic,SNARE
0.10506453,0.050877634,3789,Mid,Fast,Acoustic,SNARE
0.16533805,0.10103127,14733,Mid,Fast,Acoustic,SNARE
0.2405163,0.14365962,1721,Mid,Fast,Acoustic,SNARE
0.6287252,0.447033,1295,Mid,Fast,Acoustic,SNARE
0.48121417,0.2511698,4882,Mid,Fast,Acoustic,SNARE
0.46871197,0.23850934,873,Mid,Fast,Acoustic,SNARE
0.1532216,0.08242498,3637,Mid,Fast,Acoustic,SNARE
0.5705852,0.31845683,2377,Mid,Fast,Acoustic,SNARE
0.49842885,0.27649927,1291,Mid,Fast,Acoustic,SNARE
0.3148117,0.14762685,3102,Mid,Fast,Acoustic,SNARE
0.37875327,0.15835325,3184,Mid,Fast,Acoustic,SNARE
0.14792347,0.08169216,4116,Mid,Fast,Acoustic,SNARE
0.16142273,0.082177565,4466,Mid,Fast,Acoustic,SNARE
0.49744707,0.18075487,2373,Mid,Fast,Acoustic,SNARE
0.494403,0.19986118,2035,Mid,Fast,Acoustic,SNARE
0.18147844,0.08322256,4919,Mid,Fast,Acoustic,SNARE
0.22409104,0.12579322,1375,Mid,Fast,Acoustic,SNARE
0.14113517,0.07043637,686,Mid,Fast,Acoustic,SNARE
0.14348,0.056945737,2609,Mid,Fast,Acoustic,SNARE
0.27582932,0.11246711,985,Mid,Fast,Acoustic,SNARE
0.16886277,0.076825365,1037,Mid,Fast,Acoustic,SNARE
